ED_ID_CSV,COUNTY,PROVINCE,GEOGDESC,T1_1AGETT_2006,T2_1PLBP_2006,T2_1PLN_2006,T2_1IEN_2006,T2_1LTN_2006,T2_1LTBP_2006,PLN_PRE_2006,T1_1AGETT_2011,T1_2T_2011,T2_1PLBP_2011,T2_1IEN_2011,T2_1PLN_2011,PLN_PRE_2011,T1_1AGETT_2016,T1_2T_2016,T2_1PLBP_2016,T2_1IEN_2016,T2_1PLN_2016,T2_5PL_2016,PLN_PRE_2016
187041,OFFALY,Leinster,Gallen,590,2,2,564,0,0,0.34,575,575,1,555,1,0.17,543,543,1,525,0,0,0.00
177011,MONAGHAN,Ulster,Bragan,287,0,0,268,4,4,0.00,298,298,0,285,0,0.00,304,304,0,280,0,0,0.00
97064,KILKENNY,Leinster,Kilkieran,561,0,0,538,0,0,0.00,688,688,6,647,7,1.02,670,670,0,638,0,0,0.00
127102,LIMERICK,Munster,Knockainy,671,0,0,645,0,0,0.00,732,732,0,700,0,0.00,722,722,3,694,3,3,0.42
187025,OFFALY,Leinster,Cullenwaine,661,0,0,643,0,0,0.00,703,703,0,673,0,0.00,680,680,1,657,1,2,0.15
268144,DUBLIN,Leinster,Terenure A,3317,54,56,2878,7,6,1.69,3549,3549,52,2967,57,1.61,3741,3741,46,3150,47,45,1.26
247061,WEXFORD,Leinster,Kilcomb,926,10,10,866,0,0,1.08,1036,1036,13,966,13,1.25,1090,1090,6,1040,6,5,0.55
37002,CLARE,Munster,Annagh,522,0,0,477,0,0,0.00,508,508,0,472,0,0.00,504,504,0,456,0,0,0.00
107059,LAOIS,Leinster,Killermogh,336,4,4,310,0,0,1.19,341,341,1,317,1,0.29,349,349,0,324,0,0,0.00
57005,DONEGAL,Ulster,Ardmalin,696,0,0,656,0,0,0.00,741,741,2,659,1,0.13,720,720,0,646,0,0,0.00
157023,MAYO,Connacht,Ballycroy North,306,0,0,291,0,0,0.00,320,320,0,294,0,0.00,303,303,0,282,0,0,0.00
267141,DUBLIN,Leinster,Tallaght-Killinardan,4133,25,26,3813,4,4,0.63,3915,3915,43,3683,44,1.12,3958,3958,49,3646,52,55,1.31
47132,CORK,Munster,Douglas,17918,292,292,16206,88,91,1.63,20397,20397,610,17898,647,3.17,21041,21041,549,18856,571,646,2.71
97033,KILKENNY,Leinster,Dunkitt,1008,7,7,972,0,0,0.69,1058,1058,0,1038,0,0.00,1015,1015,0,992,0,0,0.00
268021,DUBLIN,Leinster,Beaumont A,2586,21,27,2324,1,1,1.04,2467,2467,34,2265,35,1.42,2463,2463,20,2243,20,21,0.81
217063,TIPPERARY,Munster,Cullen,284,1,1,265,0,0,0.35,282,282,3,257,3,1.06,289,289,0,271,0,0,0.00
197060,ROSCOMMON,Connacht,Estersnow,94,0,0,80,0,0,0.00,88,88,0,77,0,0.00,87,87,0,76,0,0,0.00
197069,ROSCOMMON,Connacht,Kilcolagh,86,0,0,74,0,0,0.00,126,126,6,110,4,3.17,148,148,4,121,3,4,2.03
67117,GALWAY,Connacht,Kilconierin,393,0,0,359,0,0,0.00,527,527,0,491,0,0.00,583,583,6,541,5,6,0.86
27065,CAVAN,Ulster,Larah North,441,0,0,422,4,4,0.00,501,501,1,469,1,0.20,472,472,0,444,0,0,0.00
137003,LONGFORD,Leinster,Agharra,349,0,0,329,0,0,0.00,456,456,0,410,0,0.00,444,444,0,420,0,0,0.00
227038,WATERFORD,Munster,Fews,252,0,0,234,0,0,0.00,336,336,0,313,0,0.00,347,347,0,320,0,0,0.00
37048,CLARE,Munster,Derrynagittagh,161,3,3,125,0,0,1.86,149,149,0,132,0,0.00,137,137,0,122,0,0,0.00
67141,GALWAY,Connacht,Kilmacshane,230,5,5,200,0,0,2.17,245,245,0,224,0,0.00,231,231,0,205,0,0,0.00
217132,TIPPERARY,Munster,Moycarky,487,0,0,475,0,0,0.00,549,549,2,531,2,0.36,517,517,1,505,1,3,0.19
127033,LIMERICK,Munster,Bulgaden,347,0,0,319,0,0,0.00,346,346,0,313,0,0.00,340,340,0,320,0,0,0.00
47136,CORK,Munster,Drishane,1641,190,190,1299,11,11,11.58,2001,2001,201,1487,218,10.89,1955,1955,220,1405,230,255,11.76
